央视,#genre#
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

卫视,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
上海东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
深圳卫视-SD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
延边,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
全网,#genre#
CCTV1,mitv://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV2,mitv://generationnexxxt.com:19806/ce08ee69cea5402c99bf285704eac3e5
CCTV3,mitv://generationnexxxt.com:19806/784f6703531044be9cee14b793948d30
CCTV4,mitv://generationnexxxt.com:19806/50c3e18e04bf478db59251455cf3d309
CCTV5,mitv://generationnexxxt.com:19806/7d00bdeddb6c422796e62ae9e8b9398d
CCTV5+,mitv://generationnexxxt.com:19806/65a531aa00057c26dd8d1ccf196a034e
CCTV6,mitv://generationnexxxt.com:19806/3ec70c48b2024e4f9210169aec2914c7
CCTV7,mitv://generationnexxxt.com:19806/e70ef03e57794075962ec3960df5b167
CCTV8,mitv://generationnexxxt.com:19806/65a52e1d00012b4cdd7f3cee366e723b
CCTV9,mitv://generationnexxxt.com:19806/65a52e1d0007b3b6dd7f3e945c727248
CCTV10,mitv://generationnexxxt.com:19806/65a52e1d000c0c0bdd7f3fad13ad7f10
CCTV11,mitv://generationnexxxt.com:19806/65a52e1e0002f04bdd7f414333117e01
CCTV12,mitv://generationnexxxt.com:19806/65a52e1e0008b4e1dd7f42ba38ef4a02
CCTV13,mitv://generationnexxxt.com:19806/65a52dc0000d93bbdd7dd4d235813afb
CCTV14,mitv://generationnexxxt.com:19806/65a52dc1000332e5dd7dd60b29277892
CCTV15,mitv://generationnexxxt.com:19806/65a52dc10008dffbdd7dd78215274e95
CCTV16,mitv://generationnexxxt.com:19806/65a614e0000be91ae104b1833fc057ba
CCTV17,mitv://generationnexxxt.com:19806/65a614e00004fec6e104afbe58b32445
北京卫视,mitv://generationnexxxt.com:19806/8d7d0547db754c32bca6011693893b40
天津卫视,mitv://generationnexxxt.com:19806/0d7fa1ec8c4348e29bc3f09a38ae3691
河北卫视,mitv://generationnexxxt.com:19806/f0390f4cc1fa4b9991338bc6426deb17
黑龙江卫视,mitv://generationnexxxt.com:19806/2f690600a9454710b15b0e90853268c3
辽宁卫视,mitv://generationnexxxt.com:19806/4b1903b35f804f1180a4b346efbabfc9
东方卫视,mitv://generationnexxxt.com:19806/10521db17e054dbeba85448ac091ae64
江苏卫视,mitv://generationnexxxt.com:19806/13f3f27751184d95902e5c588264551e
浙江卫视,mitv://generationnexxxt.com:19806/7bf4b3a65eaf421ab6d71bd8dcc4547a
江西卫视,mitv://generationnexxxt.com:19806/d3548b106a7d45b4972427c3a75135ab
山东卫视,mitv://generationnexxxt.com:19806/be77ccef4df042ab909e0a2586844431
东南卫视,mitv://generationnexxxt.com:19806/00aae4669ca24ddabf43997323ceef8e
湖北卫视,mitv://generationnexxxt.com:19806/7553b94400ac4d85b752579acb37c0ce
湖南卫视,mitv://generationnexxxt.com:19806/45dc7947c5574ebfb0e68e5d0a537ed0
深圳卫视,mitv://generationnexxxt.com:19806/b8c8ef10f65649c9a43388d771203f61
广东卫视,mitv://generationnexxxt.com:19806/cf7073fbb4c5490a86aca002247700f9
广西卫视,mitv://generationnexxxt.com:19806/eb435193f43d4c8ca09c9ce477d4d7b9
重庆卫视,mitv://generationnexxxt.com:19806/c173700eaecc412695b37ac062b6abac
云南卫视,mitv://generationnexxxt.com:19806/9203ba029385410793e3f2b7bffb3335
星空卫视,mitv://generationnexxxt.com:19806/0b87528420394614b1016123ff4fda4c
大湾区卫视,mitv://generationnexxxt.com:19806/587bc565d5a4413987fdce380a48a332
珠江台,mitv://generationnexxxt.com:19806/a050c8e736174de681b13b8ebd2ce3c4
快乐垂钓,mitv://generationnexxxt.com:19806/65a4f19a000ece67dc92e0b05e060435
魅力足球,mitv://generationnexxxt.com:19806/ca7a1a18635e453a9a77e5fd5d425e89
五星体育,mitv://generationnexxxt.com:19806/d75057c993f84e7c86f94e8f1e56ad24
广东体育,mitv://generationnexxxt.com:19806/bb744a1252da46a6a2ae5546f4da7c72
私人影院,mitv://generationnexxxt.com:19806/3cfadd5e9af14d6db652b3c23acd7a7d
Channel [V],mitv://generationnexxxt.com:19806/65938874000d6c7c9890150e746d4c5b
CHC动作电影,mitv://generationnexxxt.com:19806/1b4ebad47ed94c6291646a4a5d1ff3b6
广东影视,mitv://generationnexxxt.com:19806/f2dbc62d3b0b4af3ac2420174eadf202
CHC高清电影,mitv://generationnexxxt.com:19806/02385419696a411db959037c2190cf11
CHC家庭影院,mitv://generationnexxxt.com:19806/28fb3856055c452db8f17441c99f21cf
有线,#genre#
CCTV1,http://dp.sxtv.top:88/2b/bestv.php?id=cctv1
CCTV2,http://dp.sxtv.top:88/2b/bestv.php?id=cctv2
CCTV3,http://dp.sxtv.top:88/2b/bestv.php?id=cctv3
CCTV4,http://dp.sxtv.top:88/2b/bestv.php?id=cctv4
CCTV5,http://dp.sxtv.top:88/2b/bestv.php?id=cctv5
CCTV6,http://dp.sxtv.top:88/2b/bestv.php?id=cctv6
CCTV7,http://dp.sxtv.top:88/2b/bestv.php?id=cctv7
CCTV8,http://dp.sxtv.top:88/2b/bestv.php?id=cctv8
CCTV9,http://dp.sxtv.top:88/2b/bestv.php?id=cctv9
CCTV10,http://dp.sxtv.top:88/2b/bestv.php?id=cctv10
CCTV11,http://dp.sxtv.top:88/2b/bestv.php?id=cctv11
CCTV12,http://dp.sxtv.top:88/2b/bestv.php?id=cctv12
CCTV13,http://dp.sxtv.top:88/2b/bestv.php?id=cctv13
CCTV14,http://dp.sxtv.top:88/2b/bestv.php?id=cctv14
CCTV15,http://dp.sxtv.top:88/2b/bestv.php?id=cctv15
CCTV16,http://dp.sxtv.top:88/2b/bestv.php?id=cctv16
CCTV16,http://dp.sxtv.top:88/2b/bestv.php?id=cctv164k
CCTV17,http://dp.sxtv.top:88/2b/bestv.php?id=cctv17
CCTV5+,http://dp.sxtv.top:88/2b/bestv.php?id=cctv5p
CCTV5+,http://dp.sxtv.top:88/2b/bestv.php?id=cctv5p2
CCTV4K,http://dp.sxtv.top:88/2b/bestv.php?id=cctv4k
CGTN,http://dp.sxtv.top:88/2b/bestv.php?id=cgtn
中国教育1台,http://dp.sxtv.top:88/2b/bestv.php?id=zgjy1
中国教育2台,http://dp.sxtv.top:88/2b/bestv.php?id=zgjy2
中国教育4台,http://dp.sxtv.top:88/2b/bestv.php?id=zgjy4
广西卫视,http://dp.sxtv.top:88/2b/bestv.php?id=gxws
广东卫视,http://dp.sxtv.top:88/2b/bestv.php?id=gdws
深圳卫视,http://dp.sxtv.top:88/2b/bestv.php?id=szws
海南卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hainan
三沙卫视,http://dp.sxtv.top:88/2b/bestv.php?id=ssws
云南卫视,http://dp.sxtv.top:88/2b/bestv.php?id=ynws
贵州卫视,http://dp.sxtv.top:88/2b/bestv.php?id=gzws
东南卫视,http://dp.sxtv.top:88/2b/bestv.php?id=dnws
厦门卫视,http://dp.sxtv.top:88/2b/bestv.php?id=xmws
江西卫视,http://dp.sxtv.top:88/2b/bestv.php?id=jxws
安徽卫视,http://dp.sxtv.top:88/2b/bestv.php?id=ahws
湖南卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hunan
湖北卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hubei
河南卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hnws
河北卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hbws
重庆卫视,http://dp.sxtv.top:88/2b/bestv.php?id=cqws
四川卫视,http://dp.sxtv.top:88/2b/bestv.php?id=scws
浙江卫视,http://dp.sxtv.top:88/2b/bestv.php?id=zjws
江苏卫视,http://dp.sxtv.top:88/2b/bestv.php?id=jsws
东方卫视,http://dp.sxtv.top:88/2b/bestv.php?id=dfws
东方卫视,http://dp.sxtv.top:88/2b/bestv.php?id=zqpd
山东卫视,http://dp.sxtv.top:88/2b/bestv.php?id=sdws
北京卫视,http://dp.sxtv.top:88/2b/bestv.php?id=bjws
天津卫视,http://dp.sxtv.top:88/2b/bestv.php?id=tjws
辽宁卫视,http://dp.sxtv.top:88/2b/bestv.php?id=lnws
吉林卫视,http://dp.sxtv.top:88/2b/bestv.php?id=jlws
黑龙江卫视,http://dp.sxtv.top:88/2b/bestv.php?id=hljws
陕西卫视,http://dp.sxtv.top:88/2b/bestv.php?id=sxws
山西卫视,http://dp.sxtv.top:88/2b/bestv.php?id=shanxi
甘肃卫视,http://dp.sxtv.top:88/2b/bestv.php?id=gsws
宁夏卫视,http://dp.sxtv.top:88/2b/bestv.php?id=nxws
青海卫视,http://dp.sxtv.top:88/2b/bestv.php?id=qhws
西藏卫视,http://dp.sxtv.top:88/2b/bestv.php?id=xzws
新疆卫视,http://dp.sxtv.top:88/2b/bestv.php?id=xjws
兵团卫视,http://dp.sxtv.top:88/2b/bestv.php?id=btws
内蒙古卫视,http://dp.sxtv.top:88/2b/bestv.php?id=nmgws
康巴卫视,http://dp.sxtv.top:88/2b/bestv.php?id=kbws

天津,#genre#
石家庄新闻综合,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8?zhebd
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8?zhebd
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8?zhebd
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8?zhebd
石家庄新闻,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
滨海综艺,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
天津卫视,http://183.66.196.98:9901/tsfile/live/0135_1.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8?ztianjd
滨海综艺,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8?ztianjd
滨海影院,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8?ztianjd
津南一套,http://play.jinnantv.top/live/JNTV1.m3u8?ztianjd
西青新闻综合,http://221.238.209.44:81/hls/live1.m3u8?ztianjd
武清综合,https://tvpull.smartwq.cn/wqlive/convergencemedia/playlist.m3u8?ztianjd

陕西,#genre#

农林卫视,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225521/index.m3u8
陕西新闻资讯,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225639/index.m3u8
陕西生活,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225531/index.m3u8
陕西影视,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225532/index.m3u8
陕西公共,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225533/index.m3u8
陕西体育休闲,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225535/index.m3u8
西安新闻综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225668/index.m3u8
西安教育电视台,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226037/index.m3u8
长安一套,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225896/index.m3u8
高陵综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225970/index.m3u8
鄠邑综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225919/index.m3u8
鄠邑二套,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225969/index.m3u8
蓝田综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225864/index.m3u8
蓝田二套,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225865/index.m3u8
临潼综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225966/index.m3u8
临潼影视,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225967/index.m3u8
阎良综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225866/index.m3u8
周至综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225867/index.m3u8
周至二套,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225968/index.m3u8
安康综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226053/index.m3u8
白河综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225921/index.m3u8
汉阴综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225922/index.m3u8
岚皋电视台,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225861/index.m3u8
宁陕综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225923/index.m3u8
平利电视台,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225924/index.m3u8
石泉综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225879/index.m3u8
旬阳新闻综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225878/index.m3u8
旬阳民生文化,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225925/index.m3u8
镇坪综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226343/index.m3u8
紫阳综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225928/index.m3u8
宝鸡综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226038/index.m3u8
宝鸡公共,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226344/index.m3u8
陈仓综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225869/index.m3u8
扶风综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225935/index.m3u8
扶风二套,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225936/index.m3u8
凤翔综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225929/index.m3u8
凤翔文化影视,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225930/index.m3u8
麟游综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225931/index.m3u8
陇县综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225938/index.m3u8
陇县道德文化,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225939/index.m3u8
眉县新闻综合,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225933/index.m3u8
眉县经济生活,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225934/index.m3u8

广东,#genre#
广州综合,http://8.137.59.151:3000/guangdong/guangzhou.php?id=zhonghe
广州新闻,http://8.137.59.151:3000/guangdong/guangzhou.php?id=xinwen
广州影视,http://8.137.59.151:3000/guangdong/guangzhou.php?id=yingshi
广州法治,http://8.137.59.151:3000/guangdong/guangzhou.php?id=fazhi
广州南国都市,http://8.137.59.151:3000/guangdong/guangzhou.php?id=shenghuo
东莞新闻综合,http://8.137.59.151:3000/guangdong/dongguang.php?id=xwzh
东莞生活资讯,http://8.137.59.151:3000/guangdong/dongguang.php?id=shzx
佛山综合,http://8.137.59.151:3000/guangdong/foshan.php?id=fszh
佛山影视,http://8.137.59.151:3000/guangdong/foshan.php?id=fsys
佛山公共,http://8.137.59.151:3000/guangdong/foshan.php?id=fsgg
佛山顺德,http://8.137.59.151:3000/guangdong/foshan.php?id=fssd
佛山高明,http://8.137.59.151:3000/guangdong/foshan.php?id=fsgm
揭阳综合,http://8.137.59.151:3000/guangdong/tianma.php?id=jyzh
揭阳生活,http://8.137.59.151:3000/guangdong/tianma.php?id=jysh
河源综合,http://8.137.59.151:3000/guangdong/chudian.php?id=hyzh
河源公共,http://8.137.59.151:3000/guangdong/chudian.php?id=hygg
连平台,http://8.137.59.151:3000/guangdong/chudian.php?id=lpzh
阳江-1,http://8.137.59.151:3000/guangdong/chudian.php?id=yjtv1
